"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PER",2001,28698.56957434499347020,19262873.095379683218672
"PER",2002,46059.43163834454667037,30246972.7404597507289235
"PER",2003,43732.98104357449905749,28660045.438574518160146
"PER",2004,62035.26670918316094118,40587210.855324879469286
"PER",2005,97398.75877497526301779,63783073.317487773800765
"PER",2006,58812.64877167267221746,39462311.338133392378685
"PER",2007,77991.86085551523552322,50990084.780153368642807
"PER",2008,88796.62752578874209120,60544161.952698598502681
"PER",2009,120185.84970829689964872,79560769.041886547272721
"PER",2010,100970.20860669674806533,67705360.584846873400220
"PER",2011,88885.92103181556716873,59594201.027820718368212
"PER",2012,177235.78223961190477751,117956234.075435958650513
"PER",2013,142870.34103778903251443,97978755.749138115013006
"PER",2014,133106.92530036350467978,90007729.309723146817044
"PER",2015,104864.28196868700381834,70470718.334680392927536
"PER",2016,142719.62178736390196739,95766892.313499322965568
"PER",2017,181090.43145355884061764,118148737.461826406120045
"PER",2018,140184.70002054895540323,94156561.847615311486661
"PER",2019,161590.12618149234348754,109715087.281613653233385
"PER",2020,190199.47408103938049600,128730313.506319499540419
"PER",2021,154278.52491343657543488,105108608.223326137861751
"PER",2022,160991.45765261572925880,109480155.201200269340456
